,LocCon2DResidual_periods5
AP7,0.03890253282544233
AP6,0.03926029555340313
AP4,0.03844680930939175
AP5,0.039131951180733586
AP1,0.037489820110917595
DH5,0.03790974510895065
DH3,0.035859373802965284
DH4,0.03368646008478221
DH11,0.03835956355958803
DH2,0.03783166949719935
DH10,0.0366552470591754
DH8,0.038002426828554974
DH6,0.03642347365330657
DH7,0.03706791687364237
DH9,0.038284761918040644
DH1,0.03690619064370285
