,LocCon2DResidualMSE_periods5
AP7,0.10237672578791603
AP6,0.10183748916989274
AP4,0.09706609950995149
AP5,0.0921518572504376
AP1,0.08912732907285384
DH5,0.09128417343832645
DH3,0.07058378670581963
DH4,0.06504812288921574
DH11,0.09197748509522677
DH2,0.09176574985420871
DH10,0.06994319984534905
DH8,0.07356895352941911
DH6,0.06993868344184823
DH7,0.0743922689687303
DH9,0.08332626258447338
DH1,0.08828116258775137
