,LocCon1DLongResidual_periods5
AP7,0.10464038496585613
AP6,0.10537690180898242
AP4,0.10314917589926023
AP5,0.10535004381436168
AP1,0.10257143221095436
DH5,0.10420382495479773
DH3,0.10910275854076462
DH4,0.10322745694372538
DH11,0.10378712414387056
DH2,0.10381202349103413
DH10,0.0946692274203134
DH8,0.10478018714929523
DH6,0.10439826773153504
DH7,0.10469875512160164
DH9,0.10873476275114265
DH1,0.10075180757629336
