,LocCon1DLongResidualMSE_periods5
AP7,0.10249807705481952
AP6,0.10142302932379467
AP4,0.09939502946874565
AP5,0.1017082068646643
AP1,0.09192678576562872
DH5,0.09321021050648218
DH3,0.07343436621501714
DH4,0.0667977149940271
DH11,0.08747204379353941
DH2,0.09023987655619664
DH10,0.07394020179053938
DH8,0.07533267939443722
DH6,0.07057472476020027
DH7,0.07737774104116935
DH9,0.07934906342347411
DH1,0.09276636297565119
