,LocCon1DLongResidualSoftmaxMSE_periods5
AP7,0.04698522310492258
AP6,0.043485675184779936
AP4,0.04208290138988953
AP5,0.04670477632955829
AP1,0.04261736210484165
DH5,0.04151117026549948
DH3,0.040848609358191824
DH4,0.028310943753572907
DH11,0.04066067937545503
DH2,0.04087340216522677
DH10,0.03227859757569324
DH8,0.03262129890430416
DH6,0.03184524854403757
DH7,0.03269156731655366
DH9,0.04035066787934292
DH1,0.03821969461317012
