,LocCon1DLongLSTMMSE_periods5
AP7,0.051824813197550695
AP6,0.044947791452586726
AP4,0.044266605356333616
AP5,0.04187746744121962
AP1,0.0400430210181336
DH5,0.04132495255253182
DH3,0.032673391330669044
DH4,0.026756834858543264
DH11,0.03685195361181028
DH2,0.04061582444936066
DH10,0.0293534226291355
DH8,0.029596644031290816
DH6,0.03057753869173634
DH7,0.029916135749694112
DH9,0.0322019364836121
DH1,0.03695491906369953
