,LocCon1DLongResidualMSE_periods5
AP7,0.04479724311485295
AP6,0.04619492048866501
AP4,0.04203423043961556
AP5,0.039107489138276205
AP1,0.03995234990634642
DH5,0.03870381485901628
DH3,0.03733602732213702
DH4,0.03051819060418096
DH11,0.03855024184487649
DH2,0.037579528553792735
DH10,0.03062973118414783
DH8,0.033734327580855726
DH6,0.027899096056847986
DH7,0.029597476631105436
DH9,0.03467645202575784
DH1,0.03819856402018671
