,LocCon1DLongResidualSoftmaxMAE_periods5
AP7,0.10462188083267739
AP6,0.10537501868849107
AP4,0.10314097308587918
AP5,0.10536980061488439
AP1,0.10257052054884934
DH5,0.10420380133827756
DH3,0.10871607911383145
DH4,0.10322737266946518
DH11,0.10378702902216153
DH2,0.10381202190149467
DH10,0.10464832804094883
DH8,0.08607630503934728
DH6,0.10427516519717629
DH7,0.10469874080092849
DH9,0.10529196355257112
DH1,0.10102459664046767
