,LocCon1DLongLSTM_periods5
AP7,0.21060641889292056
AP6,0.16755597379181097
AP4,0.12195769004179363
AP5,0.15381264604455733
AP1,0.1015758561669297
DH5,0.10882418619843386
DH3,0.08547850816616619
DH4,0.08010519282575128
DH11,0.11270069230087093
DH2,0.10053774242880345
DH10,0.08955788744101222
DH8,0.09636728884031137
DH6,0.09801603404815747
DH7,0.08588406686170716
DH9,0.11111230805561775
DH1,0.11885360253908421
