,LocCon1DLongResidualSoftmax_periods5
AP7,0.038902556862997185
AP6,0.03931014320221485
AP4,0.038485829426385454
AP5,0.03922538630747188
AP1,0.03573197262866033
DH5,0.03722826567632663
DH3,0.029154603713484287
DH4,0.02679090452345159
DH11,0.03809778131256139
DH2,0.03582913796892789
DH10,0.03435777615193214
DH8,0.039065855470185526
DH6,0.038875261157424276
DH7,0.034630023897522115
DH9,0.033881260143351966
DH1,0.03582581999271337
