,LocCon1DLongResidualSoftmaxMAE_periods5
AP7,0.03889890595801166
AP6,0.03931096376575453
AP4,0.0384909780513724
AP5,0.03925648497758041
AP1,0.038253946591852044
DH5,0.038828991252841456
DH3,0.040609739960425266
DH4,0.03844688633356338
DH11,0.03869477328530527
DH2,0.038549209292094835
DH10,0.03901735753088314
DH8,0.03345344822626814
DH6,0.03883244885816764
DH7,0.03878332644359964
DH9,0.0394482824617686
DH1,0.037332081051576586
