,LocCon1DLongLSTMResidual_periods5
AP7,0.14246718539426534
AP6,0.14850599621248878
AP4,0.12433905655763595
AP5,0.10742167773028258
AP1,0.057616211681203025
DH5,0.060634164505422194
DH3,0.05143992598236184
DH4,0.04209581440753096
DH11,0.07750629243424165
DH2,0.0748982639949468
DH10,0.04933457847332721
DH8,0.08712050075642627
DH6,0.07324177242159896
DH7,0.08194253905692496
DH9,0.076404256792421
DH1,0.0998376190923104
