Location,Latitude,Longitude,GPtorch_LocCon2D_LSTM_periods5,GPtorch_LocCon2D_LSTM_periods3,GPconstant_Conv2D_LSTM_3times,conv1D_lon,conv1D_lon_lat,GPconstant_LocCon2D_LSTM_periods5,GPtorch_LocCon2D_Dense_periods3,GPconstant_LocCon2D_LSTM,GPtorch_LocCon2D_LSTM_periods9,GPconstant_LocCon2D_Dense_periods3,GPconstant_LocCon2D_LSTM_periods3
DH3,21.31236,-158.08463,0.0827637366930256,0.08070032167906185,0.08442317744064778,0.07660733281702235,0.07629000213051187,0.07421121631832983,0.08583446265827777,0.07277392513816217,0.0819862059148702,0.08425883145253771,0.07501758197747227
DH4,21.313029999999998,-158.08505,0.07976803196443909,0.07810149375735889,0.08116545941303992,0.07383242989147919,0.07555247670930365,0.07202793232746205,0.083057462683792,0.07056009511740187,0.0786448550623086,0.08047666030136365,0.07229603882717385
DH5,21.313570000000002,-158.08424,0.08474506559848094,0.08330828604280957,0.0840736526962619,0.07979051973508752,0.07819441806147064,0.07534556452578575,0.08951988005725801,0.07414120530864456,0.08346285364970871,0.08491399326374459,0.07591502774074603
DH10,21.31183,-158.08553999999998,0.07639136601299776,0.07378405784862507,0.07538167980569545,0.07222993375382561,0.07361348319744718,0.06847099412338556,0.07788006239472549,0.06695378816953687,0.07415629962734302,0.07535209571912867,0.06838752794370023
DH11,21.31042,-158.0853,0.0751052373559735,0.07310850041711812,0.07501370496859658,0.06740844330062037,0.06698704797288646,0.06688575200537794,0.07684028990438178,0.06584234977785763,0.07399610180705926,0.07408008158159866,0.06808341243071532
DH9,21.31268,-158.08688,0.07757902413600896,0.0752992775446109,0.07537106264410269,0.0714338472355967,0.07154718504219815,0.07074390395767195,0.07696387804225001,0.06995751484809831,0.07679850078382398,0.07416558056948726,0.0723084489184314
DH2,21.314510000000002,-158.08534,0.08762588281331944,0.08689173811952278,0.08934933574690306,0.08124279576367226,0.08408512286086013,0.08161401280483215,0.09132191443123625,0.07867503221787077,0.0869888629717779,0.08787130950249561,0.08067265926186253
DH1,21.31533,-158.08700000000002,0.09218823765555416,0.09326456498890448,0.6037555227321026,0.08434321628532548,0.08415636623251266,0.08816091733129348,0.09608771665885903,0.08559994923629417,0.091705655673396,0.09203797290483323,0.08459114815199394
AP6,21.308120000000002,-158.07935,0.1145199043910502,0.10605337496450726,0.10522388829307247,0.09627352974121121,0.09602118737887645,0.10010473738025091,0.11037063763552353,0.09920706207971978,0.10612189868541645,0.1056964764838876,0.09941137241801527
AP1,21.31276,-158.08389,0.08127512390560246,0.0798112717648051,0.08054704637711187,0.07677527756362722,0.07713761244563089,0.07168630184663811,0.08599813550866438,0.07107255276868714,0.07983878726249763,0.08279894171800438,0.07263731974736552
AP5,21.309829999999998,-158.08248999999998,0.08375079963613749,0.07824202721985757,0.07243937051071876,0.06881173575054045,0.06987830819427103,0.06957240260578204,0.08207664371453009,0.06900681797616999,0.07914214367238433,0.07154350118756334,0.07022085948108595
AP4,21.311410000000002,-158.07947,0.09659884912883152,0.09476527679490622,0.08846304172189595,0.08997451161128887,0.09218206792637922,0.08497460101171775,0.09595536951902855,0.08624428263918717,0.09446496734290938,0.0888785252572045,0.08668585937381335
AP7,21.31478,-158.07785,0.10861139694807766,0.1071573477074593,0.1003638448194653,0.09390382274769354,0.09425895865412726,0.09519707988857143,0.11373678470600256,0.09593277815997749,0.10891698751314337,0.09726317562081503,0.09569235208695588
DH6,21.31179,-158.08678,0.07947735976114312,0.07553251715157215,0.07648578139730491,0.07163346764186154,0.0707745360010776,0.07126684052920429,0.077837866739105,0.0701648486050054,0.07860779927127505,0.6224171578057949,0.07249920439966925
DH7,21.31418,-158.08685,0.08259758074217383,0.08210739448841851,0.08495854046582972,0.0771407329172328,0.0782782430169375,0.0768932945071043,0.08504538596480324,0.07504625307847276,0.08224412465079539,0.08087582608570272,0.0761048590051684
DH8,21.31034,-158.08675,0.07581848066454785,0.07368953781359334,0.07800991864953578,0.06692433700181435,0.06714995106925135,0.06948968119617521,0.07721350269027974,0.06803956234889595,0.07386689906596612,0.07864972154501736,0.06982098113924727
