,GPconstant_LocCon2D_LSTM_periods5
AP1,0.07168630184663811
AP4,0.08497460101171775
AP5,0.06957240260578204
AP6,0.10010473738025091
AP7,0.09519707988857143
DH1,0.08816091733129348
DH10,0.06847099412338556
DH11,0.06688575200537794
DH2,0.08161401280483215
DH3,0.07421121631832983
DH4,0.07202793232746205
DH5,0.07534556452578575
DH6,0.07126684052920429
DH7,0.0768932945071043
DH8,0.06948968119617521
DH9,0.07074390395767195
