,GPtorch_LocCon2D_Dense_periods5
AP1,0.08624779738852324
AP4,0.0960047117885097
AP5,0.08088466338753063
AP6,0.10867866076073289
AP7,0.11217673865364568
DH1,0.09602133364335397
DH10,0.07906805642253636
DH11,0.07836735683322972
DH2,0.09241781148568828
DH3,0.08755904547650935
DH4,0.08371598762102325
DH5,0.08838365984534519
DH6,0.07774724182741918
DH7,0.08559500453574558
DH8,0.07828124606018595
DH9,0.07712883450315502
