,GPtorch_LocCon2D_LSTM_periods3
AP1,0.0798112717648051
AP4,0.09476527679490622
AP5,0.07824202721985757
AP6,0.10605337496450726
AP7,0.1071573477074593
DH1,0.09326456498890448
DH10,0.07378405784862507
DH11,0.07310850041711812
DH2,0.08689173811952278
DH3,0.08070032167906185
DH4,0.07810149375735889
DH5,0.08330828604280957
DH6,0.07553251715157215
DH7,0.08210739448841851
DH8,0.07368953781359334
DH9,0.0752992775446109
