,GPconstant_LocCon2D_Dense_periods3
AP1,0.08279894171800438
AP4,0.0888785252572045
AP5,0.07154350118756334
AP6,0.1056964764838876
AP7,0.09726317562081503
DH1,0.09203797290483323
DH10,0.07535209571912867
DH11,0.07408008158159866
DH2,0.08787130950249561
DH3,0.08425883145253771
DH4,0.08047666030136365
DH5,0.08491399326374459
DH6,0.6224171578057949
DH7,0.08087582608570272
DH8,0.07864972154501736
DH9,0.07416558056948726
